model,MAE,RMSE,MAPE,sMAPE(%)
SARIMA,4.6662749147973015,5.5474477508529,114.6448533046234,53.57430561133103
HoltWintersAdd,5.019536544750335,6.202823380817184,125.6611042544298,55.605331625483856
XGBoost,6.449505011240642,7.653711320392524,178.16316381796494,61.27083250171158
LSTM,6.687601175159215,7.743229330195329,206.3279811889092,64.20894601756063
SeasonalNaive,7.666666666666667,10.816653826391969,191.06920856920857,64.0334973668307
