scope,mae_cell_or_region,rmse_cell_or_region,mae_monthly_total,rmse_monthly_total,n_test_rows
spatial,0.05709144543689325,0.3185820525471332,9.43567540126837,10.460074317638918,13452
region,0.7801561832404547,1.595084672783406,7.397446462109123,9.108995660736964,600
