cell_id,lat_bin,lon_bin,total_events_train
1_126,1,126,2224.0
-1_123,-1,123,1553.0
-2_120,-2,120,1484.0
-9_116,-9,116,1199.0
1_127,1,127,1155.0
-3_129,-3,129,1126.0
0_126,0,126,1054.0
2_128,2,128,1000.0
-1_122,-1,122,928.0
-7_130,-7,130,923.0
-9_107,-9,107,902.0
-9_118,-9,118,861.0
-8_106,-8,106,855.0
2_126,2,126,825.0
-10_119,-10,119,823.0
-4_128,-4,128,813.0
3_126,3,126,745.0
2_127,2,127,707.0
-9_119,-9,119,706.0
-3_140,-3,140,706.0
