model,MAE,RMSE,MAPE
SeasonalNaive,139.33333333333334,172.79998070987546,15.847920258793241
SARIMA,147.28878740231434,190.96649307113566,18.832153467814585
LSTM,177.34220030655464,200.85494056689438,21.740482811598486
HoltWintersAdd,193.56555172341874,248.14300959491825,25.376202817314482
XGBoost,257.2575429280599,294.5352773760703,30.218034624875727
