month,forecast
2023-02-01,978.0
2023-03-01,925.0
2023-04-01,851.0
2023-05-01,775.0
2023-06-01,719.0
2023-07-01,763.0
2023-08-01,617.0
2023-09-01,920.0
2023-10-01,915.0
2023-11-01,1143.0
2023-12-01,1183.0
2024-01-01,1176.0
