grid_id,lat,lon,freq,max_mag,avg_mag,avg_depth,gempa_in_radius_50,density
-0.1_122.0,-0.049844236754564786,122.0397195523298,21,4.5342543,3.031717282229301,229.38095238095238,1371,0.012602082108474058
-0.1_122.10000000000001,-0.03416205682630769,122.14145157692307,13,4.298850416,2.788254716,119.53846153846153,1482,0.013363743137714235
-0.1_122.2,-0.03767576752263529,122.24658415118962,11,4.3049585,3.1674281166220255,158.36363636363637,1351,0.012929223417599115
-0.1_122.30000000000001,-0.04090615769056698,122.34889954998047,10,3.323998334,2.586612484484554,63.0,1241,0.012824053579188997
-0.1_122.4,-0.05924433975851379,122.45031622272339,16,4.860407186,2.790541413457419,74.6875,1311,0.013476957259887809
-0.1_122.5,-0.04323414734414241,122.53850136760744,10,4.7188892,2.911566658034709,92.0,1676,0.016205413563050785
-0.1_122.60000000000001,-0.075730264435,122.6321849,8,4.611201914,2.864876459875,58.25,2085,0.02183616142268509
-0.1_122.7,-0.05875472713595652,122.76405327826087,23,4.5230029,3.010235142434783,100.52173913043478,2503,0.03269142431511749
-0.1_122.80000000000001,-0.06708615461706109,122.85307615460425,61,4.672301579,3.116492039141942,114.04918032786885,2688,0.041416532652670784
-0.1_122.9,-0.060574161501491024,122.95361175103533,113,5.454725435,3.1441590590355504,112.78761061946902,2841,0.047260299465101456
-0.1_123.0,-0.05898940402711796,123.05210048108916,102,4.883400168,3.2519835081584527,116.04901960784314,2973,0.048747426111245495
-0.1_123.10000000000001,-0.059138042871624615,123.15104603229891,162,6.1668519,3.2297178738824583,130.46296296296296,3017,0.045985664115281565
-0.1_123.2,-0.05789270939318628,123.24590778628837,139,6.319994366,3.3025674134376035,127.97857142857143,2946,0.040604848735930295
-0.1_123.30000000000001,-0.06121850918914667,123.35212493779206,106,5.278177966,3.56761813628561,122.05607476635514,2443,0.03380065760760404
-0.1_123.4,-0.05185709398369513,123.457879914493,71,4.882291041,3.5063287334927034,109.91549295774648,1907,0.027176430987628366
-0.1_123.5,-0.05049977100995273,123.55631431381241,40,5.165466579,3.7035240501899978,111.90243902439025,1708,0.022495888724609416
-0.1_123.60000000000001,-0.05124553547969105,123.64698529608816,35,4.870689132,3.7335203681638105,109.02857142857142,1447,0.019340988254465386
-0.1_123.7,-0.05402866174367287,123.74952581027503,36,5.02334879,3.7690430601170117,103.5945945945946,1260,0.01680508502592926
-0.1_123.80000000000001,-0.061067862909648975,123.84746703623048,18,5.053314214,3.785313305790306,83.0,1092,0.015009892072903439
-0.1_123.9,-0.05090557882933953,123.94573051401112,19,4.8018538,3.838721865059764,110.84210526315789,1006,0.01339513776080325
-0.1_124.0,-0.06684100293459318,124.03522297219881,19,4.993422365,3.5654747537984774,62.78947368421053,1034,0.012464408313822319
-0.1_124.10000000000001,-0.05465628577389107,124.15446816867534,17,4.625105481,3.582548252304251,53.76470588235294,1026,0.011733576360276048
-0.1_124.2,-0.05407069596888889,124.26419502222221,9,4.7611394,3.648667360222222,40.22222222222222,943,0.01205763336901748
-0.1_124.30000000000001,-0.05715900485232417,124.36722061606733,34,5.971030318,4.132046067141134,34.3235294117647,894,0.012701608260377967
-0.1_124.4,-0.052926853790533204,124.4525887484494,41,5.296405141,3.7171250844903896,32.41463414634146,825,0.012827758300291961
-0.1_124.5,-0.0477280774844901,124.54569363406576,24,5.412454583,4.03302664585211,31.5,779,0.012267970453743398
-0.1_124.60000000000001,-0.059588305609999996,124.6370334125,8,5.044266156,3.8640380690000002,26.375,776,0.011238330099532906
-0.1_124.7,-0.04887746230943436,124.75662060263672,5,4.2208969,3.8097805804920513,15.6,831,0.009576779954960101
-0.1_124.80000000000001,-0.044371819358,124.84977523,10,4.888061344,3.7067683848,18.1,859,0.008756434497579079
-0.1_124.9,-0.051812990401899905,124.95191152452675,12,4.6002352,3.715716237197642,27.615384615384617,770,0.00847832762913449
-0.1_125.0,-0.0678927851020555,125.05029480200739,9,5.5882241,4.114794459754148,16.22222222222222,654,0.008721112317298926
-0.1_125.10000000000001,-0.05785273750192135,125.14801531837023,9,5.62723611,3.888143746800603,19.11111111111111,613,0.008868212275012607
-0.1_125.2,-0.06396158661012694,125.2380114453569,11,5.548292264,3.897985153130044,25.363636363636363,588,0.008743866352558676
-0.1_125.30000000000001,-0.04855897109698597,125.34465504618166,10,5.637764697,3.951752138974693,48.9,593,0.007744122305867802
-0.1_125.4,-0.043308027634999996,125.45321495,6,4.3927313,3.759700842333334,22.5,572,0.006469123193277394
-0.1_125.5,-0.0792819895575,125.5275638,4,3.92458866,3.83622909575,71.5,498,0.0057998001804462525
-0.1_125.60000000000001,-0.055662143045,125.6563244,4,3.963556178,3.51484605625,23.0,402,0.0047220645256310975
-0.1_125.7,-0.037710201575333335,125.76224765555556,9,4.609638135,3.9048784426666665,17.88888888888889,349,0.004345236992191976
-0.1_125.80000000000001,-0.04802669167333334,125.84692408333335,6,4.396232487,3.881357088666667,20.0,328,0.004073844034050157
-0.1_125.9,-0.05714518606033333,125.94657793333333,3,4.075478973,3.546905246,25.666666666666668,332,0.003746065554142019
-0.1_126.0,-0.08932368457,126.0922699,1,3.067914743,3.067914743,11.0,293,0.003015857639593497
-0.1_126.10000000000001,-0.061858418715,126.15948811666668,6,4.394085056,3.8965218748333332,30.333333333333332,343,0.003248049036456224
-0.1_126.2,-0.0676666034345884,126.24192770751952,2,4.237191644654643,3.927719172327321,170.5,376,0.0030967351908390665
-0.1_126.30000000000001,-0.03834948875,126.35136415,2,4.957232939,4.435921309499999,328.0,403,0.0036266202132057665
-0.1_126.5,-0.038417347219333334,126.55737203333332,6,4.282366542,3.8541366331666667,60.5,334,0.004200321244518892
-0.1_126.60000000000001,-0.04427347611441003,126.63996593263495,21,4.946664341,3.646746708247014,22.454545454545453,277,0.004258134280047262
-0.1_126.7,-0.018020229472213826,126.73248292670898,4,3.9513228064450217,3.3508006183612555,26.25,264,0.004329722736611947
-0.1_126.80000000000001,-0.03467855998225,126.84971045,4,3.4154644,3.1539614177499997,44.25,250,0.0036438241305989153
-0.1_126.9,-0.0543881182575,126.9514648,4,5.903299032,4.217195096499999,89.0,270,0.0029986130641155577
-0.1_127.0,-0.05278460416779133,127.06096518906251,3,4.5802187,4.301222762208276,94.66666666666667,245,0.002541206366589643
-0.1_127.10000000000001,-0.02688900051533333,127.1421153,3,4.147885882,3.814721427333333,127.66666666666667,181,0.002330912682917227
-0.1_127.2,-0.003191250842,127.221344,1,4.046349689,4.046349689,126.0,162,0.0020954285086541027
-0.1_127.30000000000001,-0.03881212696,127.3156128,1,3.368923185,3.368923185,134.0,131,0.0016573345449527649
-0.1_128.9,-0.08233249187,128.9702606,1,3.252329908,3.252329908,10.0,27,0.0003219728791283341
-0.1_129.1,-0.05857180431,129.1878815,1,3.441576084,3.441576084,10.0,47,0.000625039138761928
-0.1_129.20000000000002,-0.023677122779999997,129.25569155,2,4.383979686,3.650916703,18.5,54,0.0007244669523891526
-0.1_129.3,-0.06978323869,129.38330845000002,2,4.072444049,3.975650151,74.0,80,0.0009624852522615107
-0.1_129.4,-0.09223657846,129.4381561,1,3.695958526,3.695958526,10.0,78,0.001067801996718557
-0.1_129.5,-0.05695946142,129.582962,2,3.944830203,3.6926437175,12.5,88,0.0012199637105510036
-0.1_129.6,-0.07118712365712615,129.6619873180664,2,3.476570669,3.2608634552637277,17.5,91,0.0012965865348110238
