split,rows,months,cells,nonzero_rows,zero_ratio,mean_count,max_count
train,127090,179,710,31043,0.7557400267526949,0.6575812416397828,388.0
test,8520,12,710,2292,0.7309859154929578,0.8115023474178403,128.0
