split,rows,months,cells,nonzero_rows,zero_ratio,mean_count,max_count
train,118140,179,660,3604,0.969493820890469,0.035559505671237515,18.0
test,7920,12,660,79,0.9900252525252525,0.011363636363636364,4.0
